Question,Option1,Option2,Option3,Option4,answer
How many senators are in the Australian Parliament?,A: 70,B: 72,C: 74,D: 76,4
What do most people in Australia describe themselves as?,A: Indians,B: Buddhists,C: Chirstians,D: Muslims,3
Who can propose to introduce a new law or change an existing one?,A: A member of the Australian Parliament,B: Any Australian citizen,C: Only the opposition,D: The Leader of the ruling party only,1
What does the Parliament of the Commonwealth of Australia have?,A: A senate,B: The House of Lords,C: The House of Representatives,D: Both A and C,4
What happens when you become an Australian citizen?,A: You can go to Austria,B: You can go to Malaysia,C: You can live freely in Australia,D: All of the above,3
What happens in a parliamentary democracy?,A: The citizens vote for people who represent them in the Parliament,B: The citizens vote for people who represent them in the Court of Law,C: The citizens vote for people who represent them in the Opera House,D: All of the above,1
How are all the government-benefits given to the Australian citizens?,A: By charity money,B: By the money of the politicians,C: By the money collected through taxes,D: All of the above,3
Which is the smallest state among mainland states?,A: Queensland,B: Victoria,C: South Australia,D: New South Wales,2
What are the colours of the Torres Strait Islander Flag?,A: Green blue black and grey,B: Green blue black and white,C: Green blue black and orange,D: Green. Blue black and green,3
What sort of constitution and laws did the colonies have?,A: A different constitution and law for each colony,B: The same constitution and laws for all the colonies,C: The same constitution but different laws relating to defence immigration etc.,D: Different constitution but the same laws relating to defence immigration etc.,1
What is the main difference between all the levels of government in Australia?,A: They have different number of people,B: Each level of government provides different services,C: Each level of government provides the same services,D: None of the above,2
From which areas did the early free settlers come to Australia?,A: Early free settlers came from Great Britain and Ireland.,B: Early free settlers came from India and Ireland.,C: Early free settlers came from Russia and South Asia.,D: Early free settlers came from America and Ireland.,1
What do people do in the citizenship pledge?,A: They pledge their loyalty to the world and its people.,B: They pledge their loyalty to America and its people.,C: They pledge their loyalty to Australia and its people.,D: All of the above,3
Which day is the biggest annual public holiday in Australia?,A: Aztec Day,B: Torres Day,C: Australia Day,D: All of the above,3
What sort of disagreement do Australians believe in?,A: Violent disagreement,B: Peaceful disagreement,C: Disagreeing all the time,D: They do not believe in disagreement,2
What type of violence is illegal in Australia?,A: Physical abuse,B: Verbal abuse,C: Both A and B,D: None of the above,4
Who gives advice to the Queen in the appointment of her representative in Australia?,A: The Australian Prime Minister,B: The Australian King,C: The Australian Governor-General,D: The Queen does not take advice from anyone,4
What does the rule of Law mean?,A: The Aboriginals are above the others,B: No person group or religious rule is above the law,C: All religions are above the law,D: Christanity is above the law,4
What is the law for organisations to select candidates?,A: By law they should select the person with the best skills and experience for the job,B: By law they can select anyone they want,C: By law they should give preference to women over men,D: Both A and B,4
Which flag is the official flag of Australia?,A: The Australian National Flag,B: The Australian Aboriginal Flag,C: Both A and B,D: None of the above,4
Who can you ask for help if you are overseas as an Australian citizen?,A: An Australian government official,B: A passerby,C: The embassy of the residing country,D: None of the above,4
Who can apply for children born overseas to become Australian citizens by descent?,A: Only Australian born people,B: People who have ancestors in Australia,C: Australian citizens,D: Both A and B,4
Can any Australian citizen who is aged 18 years and over seek election to parliament at the federal state and territory level?,A: Yes everyone can,B: No dual citizens can not,C: Only men can,D: Australian citizens can’t seek election to parliament,4
